Year,Military Expenditure,
1949,3900000000,
1950,3100000000,
1951,2100000000,
1952,2100000000,
1953,2800000000,
1954,2600000000,
1955,2700000000,
1956,2500000000,
1957,4400000000,
1958,2400000000,
1959,1300000000,
1960,2000000000,
1961,2400000000,
1962,2400000000,
1963,2400000000,
1964,2000000000,
1965,2000000000,
1966,2000000000,
1967,2200000000,
1968,2700000000,
1969,3300000000,
1970,3200000000,
1971,3300000000,
1972,3400000000,
1973,3500000000,
1974,3600000000,
1975,4600000000,
1976,8300000000,
1977,8800000000,
1978,9400000000,
1979,9700000000,
1980,8600000000,
1981,9200000000,
1982,7900000000,
1983,9100000000,
1984,7100000000,
1985,6600000000,
1986,6500000000,
1987,6500000000,
1988,6500000000,
1989,5300000000,
1990,3600000000,
1991,3600000000,
1992,3400000000,
1993,3200000000,
1994,3500000000,
1995,3400000000,
1996,3000000000,
1997,3000000000,
1998,3000000000,
1999,3100000000,
2000,2900000000,
2001,2900000000,
2002,2500000000,
2003,2500000000,
2004,2600000000,
2005,2700000000,
2006,2800000000,
2007,3100000000,
2008,3000000000,
2009,3300000000,
2010,3200000000,
2011,3200000000,
2012,3100000000,
2013,3500000000,
2014,3600000000,
2015,3600000000,
2016,3500000000,
2017,3900000000,
2018,3400000000,
2019,3100000000,
2020,3100000000,
