Year,Military Expenditure
1949,3800000000
1951,2000000000
1952,2100000000
1956,2400000000
1957,4400000000
1958,2300000000
1961,2400000000
1962,2300000000
1963,2400000000
1967,2200000000
1974,3600000000
1975,4500000000
1976,8200000000
1980,8600000000
1983,9000000000
1989,5300000000
1990,3600000000
1991,3600000000
1993,3200000000
1995,3300000000
1996,3000000000
1998,2900000000
1999,3000000000
2002,2400000000
2006,2800000000
2007,3000000000
2008,3000000000
2010,3200000000
2012,3100000000
2013,3500000000
2014,3600000000
2015,3600000000
2016,3500000000
2017,3800000000
2020,3100000000
