Year,military_expenditure
1949,3867611534
1951,2078117271
1952,2116410270
1956,2485246691
1957,4410810375
1958,2375200213
1961,2437672704
1962,2361280904
1963,2407351259
1967,2246645081
1974,3602743529
1975,4573530069
1976,8263806300
1980,8648733474
1983,9071131363
1989,5308450811
1990,3605014765
1991,3617331919
1993,3232102419
1995,3390038362
1996,3008080240
1998,2981712999
1999,3072847457
2002,2457199733
2006,2820803555
2007,3051353803
2008,3031965968
2010,3233411019
2012,3147722496
2013,3526897909
2014,3648721606
2015,3613435328
2016,3515461294
2017,3869625628
2020,3142676266
