Year,Suspended Particulate Matter (SPM)
1890,621
1891,623
1892,618
1893,612
1894,606
1895,600
1896,595
1897,589
1898,583
1899,577
1900,571
1901,571
1902,571
1903,570
1904,570
1905,570
1906,570
1907,569
1908,569
1909,569
1910,568
1911,568
1912,568
1913,564
1914,555
1915,547
1916,539
1917,531
1918,522
1919,514
1920,506
1921,498
1922,489
1923,481
1924,473
1925,409
1926,364
1927,360
1928,358
1929,360
1930,362
1931,364
1932,382
1933,400
1934,404
1935,409
1936,405
1937,402
1938,400
1939,384
1940,368
1941,352
1942,336
1943,320
1944,305
1945,289
1946,273
1947,257
1948,241
1949,225
1950,209
1951,205
1952,201
1953,196
1954,192
1955,188
1956,184
1957,179
1958,175
1959,171
1960,167
1961,163
1962,158
1963,154
1964,150
1965,146
1966,141
1967,137
1968,133
1969,129
1970,124
1971,120
1972,116
1973,112
1974,107
1975,103
1976,99
1977,95
1978,91
1979,86
1980,82
1981,78
1982,74
1983,69
1984,65
1985,61
1986,57
1987,52
1988,48
1989,44
1990,40
1991,35
1992,31
1993,27
1994,26
1995,26
1996,26
1997,25
1998,25
1999,25
2000,25
2001,23
2002,23
2003,25
2004,22
2005,22
2006,24
2007,22
2008,19
2009,19
2010,20
2011,20
2012,17
2013,17
2014,17
2015,15
2016,16
