Year,Suspended Particulate Matter (SPM)
1890,621
1891,623
1892,618
1893,612
1894,606
1897,589
1898,583
1900,571
1905,570
1906,570
1907,569
1912,568
1913,564
1914,555
1921,498
1922,489
1924,473
1925,409
1926,364
1927,360
1928,358
1930,362
1931,364
1933,400
1934,404
1935,409
1936,405
1937,402
1938,400
1940,368
1944,305
1945,289
1948,241
1949,225
1950,209
1960,167
1992,31
1993,27
1994,26
1995,26
1996,26
1997,25
1998,25
1999,25
2000,25
2001,23
2002,23
2003,25
2004,22
2005,22
2006,24
2007,22
2008,19
2009,19
2010,20
2011,20
2012,17
2013,17
2014,17
2015,15
2016,16
