Year,Beer (NIAAA)
1934,2.3
1935,2.6
1936,3
1937,3.1
1938,2.8
1939,2.8
1940,2.8
1941,3.1
1942,3.4
1943,3.8
1944,4.3
1945,4.4
1946,4.1
1947,4.2
1948,4.1
1949,4
1950,3.9
1951,3.9
1952,3.9
1953,3.9
1954,3.8
1955,3.8
1956,3.8
1957,3.7
1958,3.6
1959,3.8
1960,3.8
1961,3.7
1962,3.8
1963,3.8
1964,3.9
1965,3.9
1966,4
1967,4.1
1968,4.1
1969,4.2
1970,4.3
1971,4.4
1972,4.4
1973,4.5
1974,4.7
1975,4.8
1976,4.8
1977,4.9
1978,5
1979,5.2
1980,5.2
1981,5.3
1982,5.2
1983,5.2
1984,5.1
1985,5
1986,5.1
1987,5.1
1988,5
1989,5
1990,5.1
1991,4.9
1992,4.9
1993,4.8
1994,4.7
1995,4.7
1996,4.7
1997,4.6
1998,4.6
1999,4.7
2000,4.6
2001,4.7
2002,4.7
2003,4.6
2004,4.6
2005,4.5
2006,4.5
2007,4.6
2008,4.5
2009,4.4
2010,4.3
2011,4.2
2012,4.3
2013,4.2
