Year,GDP per capita
1950,3229.2371
1951,3244.0891
1953,4100.478
1954,4119.4692
1956,4054.9792
1958,4535.8091
1960,4583.8696
1961,4337.5786
1964,4663.7515
1965,4994.6255
1967,5188.5645
1969,5496.7139
1975,6577.6211
1977,7525.3076
1980,7714.3364
1981,7426.2861
1983,6648.271
1984,6961.833
1985,6894.2461
1986,7448.4355
1988,7277.6221
1991,7542.7969
1992,8131.8481
1993,8484.915
1995,8793.7188
1996,8432.1377
1998,9255.2881
1999,9152.2686
2003,9641.1309
2004,9936.7529
2005,10523.793
2006,10574.515
2013,12796.815
2017,15043.887
